word,confidence,validated,x,y,width,height
It,96.0,True,10,9,18,20
was,96.0,True,36,16,42,13
the,97.0,True,87,9,37,21
best,96.0,True,133,9,48,21
of,96.0,True,189,10,27,21
"times,",96.0,True,8,43,70,24
it,96.0,True,87,44,17,19
was,96.0,True,111,51,43,13
the,96.0,True,163,43,36,21
worst,96.0,True,207,50,66,15
of,96.0,True,8,75,26,21
"times,",96.0,True,39,77,70,24
it,96.0,True,118,78,17,19
was,96.0,True,142,84,43,14
the,96.0,True,194,77,37,21
age,96.0,True,240,85,37,21
of,96.0,True,7,109,23,21
"wisdom,",96.0,True,37,109,98,26
it,96.0,True,144,112,17,19
was,96.0,True,168,118,43,14
the,96.0,True,220,111,37,21
age,96.0,True,7,150,37,20
of,96.0,True,54,143,26,20
foolishness...,94.0,True,86,143,147,22
